CLN1	SRO4	RAD51	RNR3	CLN2	SVS1	MNN1	CDC5	CLB2	MYO1	ALK1	ACE2
1.17	1.61	2.17	1.58	1.98	0.19	-0.47	-0.12	-1.09	0.57	0.83	0.5
0.65	2.79	0.12	1.14	2.76	3.12	2.49	-0.32	-0.69	0.03	-0.38	-0.4
-2	-2.74	-0.42	-1.03	-2.74	-2.64	-1.6	2.47	2.49	0.03	2.14	-0.22
-1.32	-2.12	-0.49	-0.67	-2	-1.51	-0.15	2.41	3.47	1.68	1.74	1.97
-1.56	-0.94	-0.57	-1.09	-1.41	-2.42	-2.29	-0.99	-2.36	-0.93	-1.04	-1.54
-0.93	-0.54	0.42	0.01	-0.69	-2.15	0	-1.19	0.06	-0.86	-0.51	-0.14
1.29	-0.01	1.03	0.82	1.39	0.66	0.77	-1.33	-1.96	-0.46	-1.39	-1.05
-0.02	1.23	1.35	1.05	1.98	1.98	1.6	-1.59	-2.29	-1.19	-1.04	-1.16
0.94	0.75	0.64	0.9	0.74	1.55	0.53	-0.74	-1.36	-0.8	-0.78	-0.69
0.48	0.32	0.42	0.01	0.21	0.78	0.55	0.05	0.4	-0.26	0.23	0.08
0.07	-0.35	-0.4	-0.21	-0.36	0.14	-0.38	1.01	1.09	0.55	1.03	0.61
-0.54	-0.69	-0.9	-0.55	-1.32	-0.94	-0.54	0.83	1.54	0.73	0.95	0.76
-1.11	-0.6	-0.73	-0.68	-1.5	-1.03	-1.08	1.22	1.5	0.99	0.95	0.75
-0.77	-0.54	-0.47	-0.84	-1.07	-1.5	-0.94	0.7	0.92	0.64	0.39	0.44
0.66	0.04	0.2	0.4	0.35	-0.03	0.07	0.16	0.05	0.34	-0.22	-0.24
1.14	1.2	0.78	0.9	1.57	1.25	1.35	-0.21	-0.23	0.15	-0.49	-0.3
0.99	0.78	0.28	0.75	1.1	1.61	1.02	-0.53	-0.42	-0.57	-0.61	0.76
0.3	0.13	-0.05	0.18	0.56	0.84	1	-0.21	-0.29	-0.39	-0.25	-0.22
0.35	0.17	-0.11	0.23	0.18	0.82	0.2	0.32	0.12	0.45	0.4	0.17
-0.02	-0.02	-0.13	-0.07	-0.32	-0.09	-0.04	0.7	0.73	0.63	0.64	0.37
-0.41	-0.11	-0.87	-1.12	-0.38	-0.48	-0.97	1.11	1.35	0.14	1.16	0.93
-0.88	-0.83	-0.9	-0.66	-1.04	-0.97	-0.87	0.7	1.2	0.83	0.58	0.45
-1.34	-1.86	-0.9	-0.84	-1.26	-1.29	-0.88	0.03	0.55	-0.77	-1.19	0.23
1.21	0.83	0.26	1.24	1.6	1.1	0.25	-1.7	-1.03	-0.86	-0.13	-0.77
0.83	1.77	0.73	1.03	1.54	1.78	1.23	-1.2	-1.74	-1.07	-0.83	-0.67
0.17	0.31	0.07	-0.56	0.31	0.16	0.79	0.98	0.42	0.1	0.81	0.64
0.01	0.18	-0.05	-1.47	-0.14	-0.01	0.36	0.44	0.71	0.28	0.81	-0.15
-0.59	-1.04	-0.51	-1.14	-0.88	-0.61	-0.74	0.64	0.25	0.91	1.5	1.22
-0.93	-0.81	-0.75	-2.42	-1.7	0.87	-1.23	0.17	1.15	0.97	0.94	0.75
-1.31	-1.56	-1.19	-1.21	-1.88	-1.18	-0.92	1.54	1.24	0.97	1.03	1.17
-1.19	-0.86	-0.66	-1.34	-1.7	-0.01	-1.23	0.05	0.72	-0.18	0.25	-0.27
0.2	0.26	0.49	0.89	0.61	0.21	-0.16	-0.03	-0.24	-0.01	-0.43	0.05
1.08	1.67	1.02	1.37	1.54	-0.01	0.36	-1.3	-1.24	0.01	-1.36	-0.77
0.99	1.59	1.34	1.32	1.72	1.05	1.05	-1.25	-1.03	-0.22	-0.59	-0.81
0.93	1.66	1.09	1.65	1.51	-0.01	1.28	-1.7	-1.15	-0.23	-0.64	-1.24
0.86	0.9	0.51	0.92	1.18	0.77	1.38	0.03	-0.39	-0.39	-0.21	-0.39
0.23	0.69	0.52	0.52	0.84	-0.01	1.27	-0.32	-0.15	-0.29	-0.51	-0.01
-0.5	-0.43	-0.07	0	-0.26	-0.87	0.38	1.13	0.64	0.14	0.52	0.82
2.22	-0.3	-0.2	-0.01	-0.34	-0.01	-0.09	0.53	0.56	-0.07	0.44	0.33
-0.45	-0.86	-0.66	-0.4	-1.03	-1.2	-0.56	1.31	0.93	-0.77	0.98	0.86
-0.58	-0.78	-0.8	-0.08	-0.85	-0.01	-0.88	0.6	0.66	0.63	0.44	-0.42
-0.58	-0.73	-0.98	0.07	-0.85	-0.01	-0.48	0.89	1.2	1.12	-0.13	0.29
-0.28	0.49	0.36	-0.1	-0.21	-0.01	-0.67	-0.46	-0.07	0.42	-0.17	-0.22
-0.39	-0.14	0.05	0.29	0.13	-0.22	-0.22	0.2	-0.17	-0.13	-0.46	0.07
-0.31	-0.1	0.17	0.13	0.13	-0.23	-0.2	-0.37	-0.91	-0.23	-0.76	-0.39
-0.29	-0.86	0.18	0.15	0	-0.34	-0.06	-0.23	-0.91	-0.31	-0.32	-0.31
-0.02	-0.36	-0.87	0.69	0	-1.39	-1.05	-1.59	-1.35	-0.93	-1.28	-0.92
0.21	-0.47	0.18	0.12	0.85	-0.51	0.22	-1.29	-0.57	-1.29	-1.02	-1.31
0.57	1.46	0.68	0.16	1.47	1.37	0.82	-1.54	-0.95	-1.01	-0.76	-0.96
0.53	1.21	0.45	0.26	0.54	1.07	0.7	-0.75	-0.7	-0.99	-0.65	-0.42
0.14	0.43	0.04	0.12	0.03	0.37	0.76	-0.24	0.14	-0.15	0.02	0.19
0.16	0.13	-0.28	0.49	-0.15	0.15	0.16	0.5	0.57	0.44	0.5	0.36
-0.34	-0.67	-0.51	-0.01	-0.28	-0.21	-0.07	1.08	1.06	1.04	0.89	0.63
-0.66	-1.12	-0.42	-0.19	-0.5	-0.54	-0.49	1.22	1.24	0.9	0.8	0.55
-1.49	-1.37	-0.38	-0.01	-1.57	-0.93	-1	0.89	0.84	0.56	0.59	0.72
0.35	-0.38	0.43	-0.04	-0.18	0.18	-0.84	-0.12	0.01	0.38	-0.13	0.51
1.05	0.7	0.56	0.01	0.52	0.77	0.17	-0.24	-0.35	0.02	-0.54	-0.31
0.62	0.99	0.58	0.1	0.86	-0.01	0.5	-0.36	-0.64	-0.23	-0.38	-0.58
0.02	0.76	0.33	-0.21	0	0.3	0.54	0.32	-0.11	-0.36	-0.03	0.21
0.25	0.07	0.02	-0.35	-0.1	0.22	0	0.33	0.18	0.03	0.68	0.02
-0.23	-0.01	-0.11	-0.11	-0.39	-0.18	0.04	0.06	0.63	0.45	0.06	0.29
-0.56	-0.68	-0.13	-0.48	-0.05	-0.18	-0.06	0.94	0.06	0.52	0.88	0.73
-0.59	-0.7	-0.57	-0.54	-1.05	-0.48	-0.4	0.86	0.06	0.67	0.41	0.3
-0.51	-1.38	-1.51	-1.19	-1.77	-1.71	-1.14	-1.1	-1.75	-1.1	-1.05	-0.9
-2.07	-1.18	-0.65	-0.72	-1.77	0.7	-0.14	-0.98	-1.29	-0.52	-0.83	-1
-0.96	1.05	0.4	-0.46	0.17	-1.02	0.07	-1.42	0.25	-0.32	-0.39	-0.9
-0.29	-0.43	-0.4	0.1	0	-0.53	-0.3	-0.9	-1.29	-0.5	-1.3	-1.15
0.23	0.08	0.01	0.41	0.4	0.21	0.45	-0.8	-1.18	-0.32	-0.79	-0.6
0.65	0.52	0.52	0.76	0.68	0.58	0.68	-0.39	-0.55	-0.38	-0.39	-0.37
0.48	0.56	0.46	0.63	0.57	0.55	0.74	-0.12	0.63	-0.13	0.28	-0.32
0.54	0.71	0.66	0.42	0.6	0.61	0.34	0.77	0.54	0.29	0.52	0.52
0.59	0.01	0.19	0.21	0.27	0.22	0.03	0.79	0.37	0.6	0.88	0.72
0.53	0.57	0.19	0.56	0.6	0.46	0.44	1.15	0.95	0.61	0.7	0.89
0.24	0.08	0.18	0.16	0.4	0.28	0.53	0.67	1.08	0.54	0.73	0.86
0.27	-0.2	-0.19	-0.27	-0.3	0.13	-0.43	1.08	0.79	0.7	1.01	0.93
-0.03	-0.4	-0.01	-0.46	-0.55	-0.63	-1.05	0.87	0.85	-0.02	0.47	0.9
0.3	0.01	0.16	-0.13	0.68	0.15	-0.19	0.37	0.61	0.56	0.17	0.42
