CLN1,discrete(3)	SRO4,discrete(3)	RAD51,discrete(3)	RNR3,discrete(3)	CLN2,discrete(3)	SVS1,discrete(3)	MNN1,discrete(3)	CDC5,discrete(3)	CLB2,discrete(3)	MYO1,discrete(3)	ALK1,discrete(3)	ACE2,discrete(3)
sample-0	2	2	2	2	2	1	0	1	0	2	2	2
sample-1	2	2	1	2	2	2	2	0	0	1	1	0
sample-2	0	0	0	0	0	0	0	2	2	1	2	1
sample-3	0	0	0	0	0	0	1	2	2	2	2	2
sample-4	0	0	0	0	0	0	0	0	0	0	0	0
sample-5	0	0	2	1	0	0	1	0	1	0	0	1
sample-6	2	1	2	2	2	2	2	0	0	0	0	0
sample-7	1	2	2	2	2	2	2	0	0	0	0	0
sample-8	2	2	2	2	2	2	2	0	0	0	0	0
sample-9	2	2	2	1	1	2	2	1	1	1	1	1
sample-10	1	1	0	0	0	1	1	2	2	2	2	2
sample-11	0	0	0	0	0	0	0	2	2	2	2	2
sample-12	0	0	0	0	0	0	0	2	2	2	2	2
sample-13	0	0	0	0	0	0	0	2	2	2	1	2
sample-14	2	1	1	2	1	1	1	1	1	1	1	1
sample-15	2	2	2	2	2	2	2	1	1	1	0	1
sample-16	2	2	2	2	2	2	2	0	0	0	0	2
sample-17	1	1	1	1	2	2	2	1	1	0	1	1
sample-18	2	1	1	2	1	2	1	1	1	2	1	1
sample-19	1	1	1	1	1	1	1	2	2	2	2	1
sample-20	0	1	0	0	0	0	0	2	2	1	2	2
sample-21	0	0	0	0	0	0	0	2	2	2	2	2
sample-22	0	0	0	0	0	0	0	1	1	0	0	1
sample-23	2	2	2	2	2	2	1	0	0	0	1	0
sample-24	2	2	2	2	2	2	2	0	0	0	0	0
sample-25	1	2	1	0	1	1	2	2	1	1	2	2
sample-26	1	1	1	0	1	1	2	1	2	1	2	1
sample-27	0	0	0	0	0	0	0	2	1	2	2	2
sample-28	0	0	0	0	0	2	0	1	2	2	2	2
sample-29	0	0	0	0	0	0	0	2	2	2	2	2
sample-30	0	0	0	0	0	1	0	1	2	1	1	1
sample-31	1	1	2	2	2	1	1	1	1	1	0	1
sample-32	2	2	2	2	2	1	2	0	0	1	0	0
sample-33	2	2	2	2	2	2	2	0	0	1	0	0
sample-34	2	2	2	2	2	1	2	0	0	1	0	0
sample-35	2	2	2	2	2	2	2	1	0	0	1	0
sample-36	1	2	2	2	2	1	2	0	1	0	0	1
sample-37	0	1	1	1	1	0	2	2	2	1	2	2
sample-38	2	1	1	1	1	1	1	1	1	1	1	1
sample-39	0	0	0	0	0	0	0	2	2	0	2	2
sample-40	0	0	0	1	0	1	0	2	2	2	1	0
sample-41	0	0	0	1	0	1	0	2	2	2	1	1
sample-42	1	2	2	1	1	1	0	0	1	2	1	1
sample-43	1	1	1	2	1	1	1	1	1	1	0	1
sample-44	1	1	1	1	1	0	1	0	0	1	0	0
sample-45	1	0	1	1	1	0	1	1	0	0	1	1
sample-46	1	1	0	2	1	0	0	0	0	0	0	0
sample-47	1	0	1	1	2	0	1	0	0	0	0	0
sample-48	2	2	2	1	2	2	2	0	0	0	0	0
sample-49	2	2	2	2	2	2	2	0	0	0	0	0
sample-50	1	2	1	1	1	2	2	1	1	1	1	1
sample-51	1	1	1	2	1	1	1	1	1	2	2	1
sample-52	1	0	0	1	1	1	1	2	2	2	2	2
sample-53	0	0	0	1	0	0	0	2	2	2	2	2
sample-54	0	0	0	1	0	0	0	2	2	2	2	2
sample-55	2	1	2	1	1	1	0	1	1	1	1	2
sample-56	2	2	2	1	2	2	1	1	1	1	0	1
sample-57	2	2	2	1	2	1	2	0	0	1	1	0
sample-58	1	2	2	0	1	2	2	1	1	0	1	1
sample-59	1	1	1	0	1	2	1	1	1	1	2	1
sample-60	1	1	1	1	0	1	1	1	2	2	1	1
sample-61	0	0	1	0	1	1	1	2	1	2	2	2
sample-62	0	0	0	0	0	0	0	2	1	2	1	1
sample-63	0	0	0	0	0	0	0	0	0	0	0	0
sample-64	0	0	0	0	0	2	1	0	0	0	0	0
sample-65	0	2	2	0	1	0	1	0	1	0	1	0
sample-66	1	1	0	1	1	0	1	0	0	0	0	0
sample-67	1	1	1	2	1	1	2	0	0	0	0	0
sample-68	2	2	2	2	2	2	2	0	0	0	1	0
sample-69	2	2	2	2	2	2	2	1	2	1	1	0
sample-70	2	2	2	2	2	2	1	2	1	1	2	2
sample-71	2	1	1	2	1	2	1	2	1	2	2	2
sample-72	2	2	1	2	2	2	2	2	2	2	2	2
sample-73	1	1	1	1	1	2	2	2	2	2	2	2
sample-74	1	1	1	0	1	1	0	2	2	2	2	2
sample-75	1	1	1	0	0	0	0	2	2	1	1	2
sample-76	1	1	1	1	2	1	1	1	2	2	1	2
